标题,作者,出版商,出版刊物名称,出版时间,被引频次,180天内使用次数,2013年以来使用次数
Biodegradable poly(alpha-hydroxy ester) blended microspheres as suitable carriers for retinal pigment epithelium cell transplantation,Thomson_ H. A.; Treharne_ A. J.; Backholer_ L. S.; 等,WILEY-LISS_ DIV JOHN WILEY &amp; SONS INC_ 111 RIVER ST_ HOBOKEN_ NJ 07030 USA,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,DEC 15 2010,9,1,15
Development_ validation and application of ELISAs for pharmacokinetic and HACA assessment of a chimeric anti-CD40 monoclonal antibody in human serum,Chowdhury_ F.; Tutt_ A. L.; Chan_ C.; 等,ELSEVIER SCIENCE BV_ PO BOX 211_ 1000 AE AMSTERDAM_ NETHERLANDS,JOURNAL OF IMMUNOLOGICAL METHODS,DEC 15 2010,3,0,5
Hydrothermal sediments record changes in deep water oxygen content in the SE Pacific,Mills_ Rachel A.; Taylor_ Sarah L.; Paelike_ Heiko; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,PALEOCEANOGRAPHY,DEC 15 2010,4,2,12
First-line treatment with zoledronic acid as compared with clodronic acid in multiple myeloma (MRC Myeloma IX): a randomised controlled trial,Morgan_ Gareth J.; Davies_ Faith E.; Gregory_ Walter M.; 等,ELSEVIER SCIENCE INC_ 360 PARK AVE SOUTH_ NEW YORK_ NY 10010-1710 USA,LANCET,DEC 11 2010,204,0,10
Effect of mitoxantrone on outcome of children with first relapse of acute lymphoblastic leukaemia (ALL R3): an open-label randomised trial,Parker_ Catriona; Waters_ Rachel; Leighton_ Carly; 等,ELSEVIER SCIENCE INC_ 360 PARK AVE SOUTH_ NEW YORK_ NY 10010-1710 USA,LANCET,DEC 11 2010,58,3,11
Discovery of the 51.47-d orbital period in the supergiant fast X-ray transient XTE J1739-302 with INTEGRAL,Drave_ S. P.; Clark_ D. J.; Bird_ A. J.; 等,WILEY-BLACKWELL_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,DEC 11 2010,15,0,2
IGR J16328-4726: A NEW CANDIDATE SUPERGIANT FAST X-RAY TRANSIENT,Fiocchi_ M.; Sguera_ V.; Bazzano_ A.; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL LETTERS,DEC 10 2010,7,0,3
Six-Colour HyBeacon Probes for Multiplex Genetic Analysis,Richardson_ James A.; Gerowska_ Marta; Shelbourne_ Montserrat; 等,WILEY-V C H VERLAG GMBH_ PO BOX 10 11 61_ D-69451 WEINHEIM_ GERMANY,CHEMBIOCHEM,DEC 10 2010,18,5,27
Towards open science: the myExperiment approach,De Roure_ David; Goble_ Carole; Aleksejevs_ Sergejs; 等,JOHN WILEY &amp; SONS LTD_ THE ATRIUM_ SOUTHERN GATE_ CHICHESTER PO19 8SQ_ W SUSSEX_ ENGLAND,CONCURRENCY AND COMPUTATION-PRACTICE &amp; EXPERIENCE,DEC 10 2010,7,2,12
Toroidal Dipolar Response in a Metamaterial,Kaelberer_ T.; Fedotov_ V. A.; Papasimakis_ N.; 等,AMER ASSOC ADVANCEMENT SCIENCE_ 1200 NEW YORK AVE_ NW_ WASHINGTON_ DC 20005 USA,SCIENCE,DEC 10 2010,87,10,54
Origin of UV-induced poling inhibition in lithium niobate crystals,Steigerwald_ H.; Lilienblum_ M.; von Cube_ F.; 等,AMER PHYSICAL SOC_ ONE PHYSICS ELLIPSE_ COLLEGE PK_ MD 20740-3844 USA,PHYSICAL REVIEW B,DEC 9 2010,13,1,21
Long-term growth and subsidence of Ascension Island: Constraints on the rheology of young oceanic lithosphere,Minshull_ T. A.; Ishizuka_ O.; Garcia-Castellanos_ D,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,GEOPHYSICAL RESEARCH LETTERS,DEC 8 2010,6,1,6
eta and eta ' Mesons from Lattice QCD,Christ_ N. H.; Dawson_ C.; Izubuchi_ T.; 等,AMER PHYSICAL SOC_ ONE PHYSICS ELLIPSE_ COLLEGE PK_ MD 20740-3844 USA,PHYSICAL REVIEW LETTERS,DEC 8 2010,30,0,2
Clutter suppression and classification using twin inverted pulse sonar (TWIPS),Leighton_ T. G.; Finfer_ D. C.; White_ P. R.; 等,ROYAL SOC_ 6-9 CARLTON HOUSE TERRACE_ LONDON SW1Y 5AG_ ENGLAND,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,DEC 8 2010,15,3,16
Chalcogenide glass microsphere laser,Elliott_ Gregor R.; Murugan_ G. Senthil; Wilkinson_ James S.; 等,OPTICAL SOC AMER_ 2010 MASSACHUSETTS AVE NW_ WASHINGTON_ DC 20036 USA,OPTICS EXPRESS,DEC 6 2010,19,2,18
Millennial-scale climate variability in the subpolar North Atlantic Ocean during the late Pliocene,Bolton_ Clara T.; Wilson_ Paul A.; Bailey_ Ian; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,PALEOCEANOGRAPHY,DEC 4 2010,19,2,14
Lagrangian Frequency Spectrum as a Diagnostic for Magnetohydrodynamic Turbulence Dynamics,Busse_ Angela; Mueller_ Wolf-Christian; Gogoberidze_ Grigol</div>,AMER PHYSICAL SOC_ ONE PHYSICS ELLIPSE_ COLLEGE PK_ MD 20740-3844 USA,PHYSICAL REVIEW LETTERS,DEC 3 2010,2,0,2
Intrauterine exposure to carbamazepine and specific congenital malformations: systematic review and case-control study,Jentink_ Janneke; Dolk_ Helen; Loane_ Maria A.; 等,B M J PUBLISHING GROUP_ BRITISH MED ASSOC HOUSE_ TAVISTOCK SQUARE_ LONDON WC1H 9JR_ ENGLAND,BRITISH MEDICAL JOURNAL,DEC 2 2010,45,0,4
Modeling and model validation of the impact of the economy on the credit risk of credit card portfolios,So_ Meko M. C.; Thomas_ Lyn C,INCISIVE MEDIA_ HAYMARKET HOUSE_ 28-29 HAYMARKET_ LONDON_ SW1Y 4RX_ ENGLAND,JOURNAL OF RISK MODEL VALIDATION,WIN 2010,2,1,10
Monitoring of Self-Annealing in Ultrafine-Grained Silver Using Nanoindentation,Gubicza_ Jeno; Chinh_ Nguyen Q.; Langdon_ Terence G,AMER SCIENTIFIC PUBLISHERS_ 25650 NORTH LEWIS WAY_ STEVENSON RANCH_ CA 91381-1439 USA,NANOSCIENCE AND NANOTECHNOLOGY LETTERS,DEC 2010,3,0,6
Effect of a low-protein diet during pregnancy on expression of genes involved in cardiac hypertrophy in fetal and adult mouse offspring,Asopa_ S.; Cagampang_ F. R.; Anthony_ F. W.; 等,CAMBRIDGE UNIV PRESS_ EDINBURGH BLDG_ SHAFTESBURY RD_ CB2 8RU CAMBRIDGE_ ENGLAND,JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,DEC 2010,2,0,2
Adiposity_ insulin resistance and cardiovascular risk factors in 9-10-year-old Indian children: relationships with birth size and postnatal growth,Krishnaveni_ G. V.; Veena_ S. R.; Wills_ A. K.; 等,CAMBRIDGE UNIV PRESS_ EDINBURGH BLDG_ SHAFTESBURY RD_ CB2 8RU CAMBRIDGE_ ENGLAND,JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,DEC 2010,10,2,7
Social Work in the Context of Adult Social Care in England and the Resultant Implications for Social Work Education,Lymbery_ Mark; Postle_ Karen</div>,OXFORD UNIV PRESS_ GREAT CLARENDON ST_ OXFORD OX2 6DP_ ENGLAND,BRITISH JOURNAL OF SOCIAL WORK,DEC 2010,16,6,15
Exploring Coping Factors amongst Men Who Were Sexually Abused in Childhood,O'Leary_ Patrick J.; Gould_ Nick</div>,OXFORD UNIV PRESS_ GREAT CLARENDON ST_ OXFORD OX2 6DP_ ENGLAND,BRITISH JOURNAL OF SOCIAL WORK,DEC 2010,5,2,12
Stabilization_ Lyapunov functions_ and dissipation,Rapisarda_ P.; Kojima_ C,ELSEVIER SCIENCE BV_ PO BOX 211_ 1000 AE AMSTERDAM_ NETHERLANDS,SYSTEMS &amp; CONTROL LETTERS,DEC 2010,2,0,1
Internet Technologies_ ECRM Capabilities_ and Performance Benefits for SMEs: An Exploratory Study,Harrigan_ Paul; Schroeder_ Andreas; Qureshi_ Israr; 等,M E SHARPE INC_ 80 BUSINESS PARK DR_ ARMONK_ NY 10504 USA,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,WIN 2010,3,3,47
Electrical properties of TiO2-filled polyimide nanocomposite films prepared via an in situ polymerization process,Zha_ Jun-Wei; Dang_ Zhi-Min; Zhou_ Tao; 等,ELSEVIER SCIENCE SA_ PO BOX 564_ 1001 LAUSANNE_ SWITZERLAND,SYNTHETIC METALS,DEC 2010,15,2,28
THE X-RAY SPECTRA OF THE LUMINOUS LMXBs IN NGC 3379: FIELD AND GLOBULAR CLUSTER SOURCES,Brassington_ N. J.; Fabbiano_ G.; Blake_ S.; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL,DEC 2010,26,1,6
Old Colonial or New Cosmopolitan? Changing White Identities in the Hong Kong Police,Leonard_ Pauline</div>,OXFORD UNIV PRESS_ GREAT CLARENDON ST_ OXFORD OX2 6DP_ ENGLAND,SOCIAL POLITICS,WIN 2010,1,0,1
Towards a full inventory of planktonic Ostracoda (Crustacea) for the subtropical Northwestern Atlantic Ocean,Angel_ Martin V,PERGAMON-ELSEVIER SCIENCE LTD_ THE BOULEVARD_ LANGFORD LANE_ KIDLINGTON_ OXFORD OX5 1GB_ ENGLAND,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DEC 2010,2,3,8
X-ray pulsar navigation method for spacecraft with pulsar direction error,Liu_ Jing; Ma_ Jie; Tian_ Jin-wen; 等,ELSEVIER SCI LTD_ THE BOULEVARD_ LANGFORD LANE_ KIDLINGTON_ OXFORD OX5 1GB_ OXON_ ENGLAND,ADVANCES IN SPACE RESEARCH,DEC 1 2010,9,1,13
Sound radiation from rectangular baffled and unbaffled plates,Putra_ A.; Thompson_ D. J,ELSEVIER SCI LTD_ THE BOULEVARD_ LANGFORD LANE_ KIDLINGTON_ OXFORD OX5 1GB_ OXON_ ENGLAND,APPLIED ACOUSTICS,DEC 2010,11,1,18
Augmenting forearm crutches with wireless sensors for lower limb rehabilitation,Merrett_ Geoff V.; Ettabib_ Mohamed A.; Peters_ Christian; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,MEASUREMENT SCIENCE &amp; TECHNOLOGY,DEC 2010, 0,1,6
The Influence of Powder Porosity on the Bonding Mechanism at the Impact of Thermally Sprayed Solid Particles,Kamnis_ Spyros; Gu_ Sai; Vardavoulias_ Michalis</div>,SPRINGER_ 233 SPRING ST_ NEW YORK_ NY 10013 USA,METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,DEC 2010,2,1,10
Compressibility Effects on Boundary-Layer Transition Induced by an Isolated Roughness Element,Redford_ John A.; Sandham_ Neil D.; Roberts_ Graham T,AMER INST AERONAUT ASTRONAUT_ 1801 ALEXANDER BELL DRIVE_ STE 500_ RESTON_ VA 22091-4344 USA,AIAA JOURNAL,DEC 2010,14,0,5
A UK-based cost-utility analysis of radiofrequency ablation or oesophagectomy for the management of high-grade dysplasia in Barrett's oesophagus,Boger_ P. C.; Turner_ D.; Roderick_ P.; 等,WILEY-BLACKWELL PUBLISHING_ INC_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,ALIMENTARY PHARMACOLOGY &amp; THERAPEUTICS,DEC 1 2010,10,1,5
Multisensory Stimulation to Improve Functional Performance in Moderate to Severe Dementia-Interim Results,Collier_ Lesley; McPherson_ Kathryn; Ellis-Hill_ Caroline; 等,SAGE PUBLICATIONS INC_ 2455 TELLER RD_ THOUSAND OAKS_ CA 91320 USA,AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,DEC 2010,7,2,12
Health experiences of adolescents with uncontrolled severe asthma,Edgecombe_ Kate; Latter_ Sue; Peters_ Sheila; 等,B M J PUBLISHING GROUP_ BRITISH MED ASSOC HOUSE_ TAVISTOCK SQUARE_ LONDON WC1H 9JR_ ENGLAND,ARCHIVES OF DISEASE IN CHILDHOOD,DEC 2010,13,0,3
BREEDING HABITAT SELECTION BY STEPPE BIRDS IN CASTRO VERDE: A REMOTE SENSING AND ADVANCED STATISTICS APPROACH,Leitao_ Pedro J.; Moreira_ Francisco; Osborne_ Patrick E,SOC ESPANOLA ORNITOLGIA_ MELQUIADAS BIENCINTO 34_ E-28053 MADRID_ SPAIN,ARDEOLA,DEC 2010,7,3,18
Assessment of the Natural History of Forefoot Bursae Using Ultrasonography in Patients With Rheumatoid Arthritis: A Twelve-Month Investigation,Bowen_ Catherine J.; Hooper_ Lindsey; Culliford_ David; 等,WILEY-LISS_ DIV JOHN WILEY &amp; SONS INC_ 111 RIVER ST_ HOBOKEN_ NJ 07030 USA,ARTHRITIS CARE &amp; RESEARCH,DEC 2010,9,1,3
FERO: Finding extreme relativistic objects I. Statistics of relativistic Fe K-alpha lines in radio-quiet Type 1 AGN,de la Calle Perez_ I.; Longinotti_ A. L.; Guainazzi_ M.; 等,EDP SCIENCES S A_ 17_ AVE DU HOGGAR_ PA COURTABOEUF_ BP 112_ F-91944 LES ULIS CEDEX A_ FRANCE,ASTRONOMY &amp; ASTROPHYSICS,DEC 2010,42,0,3
Steady jets from radiatively efficient hard states in GRS 1915+105,Rushton_ A.; Spencer_ R.; Fender_ R.; 等,EDP SCIENCES S A_ 17_ AVE DU HOGGAR_ PA COURTABOEUF_ BP 112_ F-91944 LES ULIS CEDEX A_ FRANCE,ASTRONOMY &amp; ASTROPHYSICS,DEC 2010,11,1,3
FIELD AND GLOBULAR CLUSTER LOW-MASS X-RAY BINARIES IN NGC 4278,Fabbiano_ G.; Brassington_ N. J.; Lentati_ L.; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL,DEC 2010,16,1,5
THE SPITZER c2d SURVEY OF NEARBY DENSE CORES. X. STAR FORMATION IN L673 AND CB188,Tsitali_ Anastasia E.; Bourke_ Tyler L.; Peterson_ Dawn E.; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL,DEC 2010,5,2,4
INTERPRETATION OF THE 115 DAY PERIODIC MODULATION IN THE X-RAY FLUX OF NGC 5408 X-1,Foster_ D. L.; Charles_ P. A.; Holley-Bockelmann_ K,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL,DEC 2010,10,1,3
Cytoplasmic mRNA: move it_ use it or lose it!,Coldwell_ Mark J.; Gray_ Nicola K.; Brook_ Matthew</div>,PORTLAND PRESS LTD_ THIRD FLOOR_ EAGLE HOUSE_ 16 PROCTER STREET_ LONDON WC1V 6 NX_ ENGLAND,BIOCHEMICAL SOCIETY TRANSACTIONS,DEC 2010,1,0,7
A comparison of primary oesophageal squamous epithelial cells with HET-1A in organotypic culture,Underwood_ Timothy J.; Derouet_ Mathieu F.; White_ Michael J.; 等,WILEY-BLACKWELL_ 111 RIVER ST_ HOBOKEN 07030-5774_ NJ USA,BIOLOGY OF THE CELL,DEC 2010,13,4,12
Preliminary trials of in situ ammonia stripping from source segregated domestic food waste digestate using biogas: Effect of temperature and flow rate,Angeles De la Rubia_ M.; Walker_ Mark; Heaven_ Sonia; 等,ELSEVIER SCI LTD_ THE BOULEVARD_ LANGFORD LANE_ KIDLINGTON_ OXFORD OX5 1GB_ OXON_ ENGLAND,BIORESOURCE TECHNOLOGY,DEC 2010,13,4,28
Risk factors for small-for-gestational-age infants by customised birthweight centiles: data from an international prospective cohort study,McCowan_ L. M. E.; Roberts_ C. T.; Dekker_ G. A.; 等,WILEY-BLACKWELL_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,DEC 2010,41,1,15
Late relapse (&gt; 2 years) on surveillance in stage I non-seminomatous germ cell tumours; predominant seminoma only histology,Nolan_ Luke; Wheater_ Matthew; Kirby_ Julie; 等,WILEY-BLACKWELL_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,BJU INTERNATIONAL,DEC 2010,2,0,1
